event_definition;coding_system;code;code_name;concept;concept_name;tags;system;event_abbreviation;type
Maternal outcome: depression;RCD2;Eu323;[X]Severe depressive + psychot;C0494400;Severe depressive episode with psychotic symptoms;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu334;[X]Recurr depress in remission;C0270477;Recurrent major depression in remission;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu322;[X]Severe depressiv no psychot;C0494399;Severe depressive episode without psychotic symptoms;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu321;[X]Moderate depressve episode;C0494398;Moderate depressive episode;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E130.;Reactive depressive psychosis;C0011580;Depression, Reactive, Psychotic;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu320;[X]Mild depressive episode;C0494397;Mild depressive episode;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E02y3;Drug-induced depressive state;C0338715;Drug-induced depressive state;Possible;R;DEPRESSION;
Maternal outcome: depression;RCD2;E11z2;Masked depression;C0338897;Masked depression;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu326;[X]Major depression, moder sev;C0588008;Severe depression;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E135.;Agitated depression;C0235136;Agitated depression;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E2B..;Depressive disorder NEC;C0012706;Depressive disorder NEC in SNOMEDCT;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E118.;Seasonal affective disorder;C0085159;Seasonal Affective Disorder;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;192080009;Chronic depression;C0581391;Chronic depression;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2618002;Chronic recurrent major depressive disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;192079006;Postviral depression;C0581390;Postviral depression;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;192372006;[X]Depressive disorder NOS;C0011581;Depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,11E+13;Mood disorder of depressed type;C0011581;Depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;35489007;Depressive disorder;C0011581;Depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,02E+13;Perinatal depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,05E+14;Postpartum major depression in remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,08E+16;Major depressive disorder in mother complicating childbirth;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,08E+16;Major depressive disorder in mother complicating pregnancy;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,08E+16;Depressive disorder in mother complicating childbirth;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1153570009;Treatment resistant depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1153575004;Persistent depressive disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,33E+14;Severe seasonal affective disorder;;;Possible;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;14070001;Multi-infarct dementia with depression;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;14183003;Chronic major depressive disorder, single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;15193003;Severe recurrent major depression with psychotic features, mood-incongruent;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;15639000;Moderate major depression, single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,62E+16;Depressive disorder caused by amphetamine;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,62E+16;Depressive disorder caused by methamphetamine;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,63E+16;Recurrent mild major depressive disorder co-occurrent with anxiety;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,63E+16;Recurrent severe major depressive disorder co-occurrent with anxiety;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,63E+16;Recurrent moderate major depressive disorder co-occurrent with anxiety;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,63E+16;Recurrent major depressive disorder co-occurrent with anxiety in full remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,63E+16;Recurrent major depressive disorder in partial remission co-occurrent with anxiety;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,63E+16;Mild major depressive disorder co-occurrent with anxiety single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,63E+16;Moderate major depressive disorder co-occurrent with anxiety single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,63E+16;Severe major depressive disorder co-occurrent with anxiety single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;18818009;Moderate recurrent major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191495003;Depressive disorder caused by drug;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191604000;Single major depressive episode, severe, with psychosis;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191610000;Recurrent major depressive episodes, mild;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191611001;Recurrent major depressive episodes, moderate;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191613003;Recurrent major depressive episodes, severe, with psychosis;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191616006;Recurrent depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191627008;Bipolar affective disorder, current episode depression;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191629006;Bipolar affective disorder, currently depressed, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191630001;Bipolar affective disorder, currently depressed, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191634005;Bipolar affective disorder, currently depressed, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191659001;Atypical depressive disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191676002;Reactive depressive psychosis;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;19527009;Single episode of major depression in full remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;19694002;Late onset dysthymia;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;20250007;Severe major depression, single episode, with psychotic features, mood-incongruent;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231485007;Post-schizophrenic depression;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231499006;Endogenous depression first episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231500002;Masked depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231504006;Mixed anxiety and depressive disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231542000;Depressive conduct disorder;;;Possible;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;237349002;Mild postnatal depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;237350002;Severe postnatal depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;247803002;Seasonal affective disorder;;;Possible;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2506003;Early onset dysthymia;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,51E+11;Severe major depression, single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;25922000;Major depressive disorder, single episode with postpartum onset;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;268621008;Recurrent major depressive episodes;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;274948002;Endogenous depression - recurrent;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;279225001;Maternity blues;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,81E+11;Severe recurrent major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;28475009;Severe recurrent major depression with psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,89E+14;Reactive depressive psychosis, single episode;;;Possible;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;29929003;Bipolar I disorder, most recent episode depressed with atypical features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;300706003;Endogenous depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;30605009;Major depression in partial remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;310495003;Mild depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;310496002;Moderate depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;310497006;Severe depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;3109008;Secondary dysthymia early onset;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;319768000;Recurrent major depressive disorder with melancholic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;320751009;Major depression, melancholic type;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;321717001;Involutional depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;33078009;Severe recurrent major depression with psychotic features, mood-congruent;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;33135002;Recurrent major depression in partial remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;33736005;Severe major depression with psychotic features, mood-congruent;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;36170009;Secondary dysthymia late onset;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;36474008;Severe recurrent major depression without psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;36923009;Major depression, single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;370143000;Major depressive disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;38451003;Primary dysthymia early onset;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;38694004;Recurrent major depressive disorder with atypical features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;39809009;Recurrent major depressive disorder with catatonic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;40379007;Mild recurrent major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;40568001;Recurrent brief depressive disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;426578000;Premenstrual dysphoric disorder in remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;42810003;Major depression in remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;42925002;Major depressive disorder, single episode with atypical features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;430852001;Severe major depression, single episode, with psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;442057004;Chronic depressive personality disorder;;;Possible;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;450714000;Severe major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;46244001;Recurrent major depression in full remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;48589009;Minor depressive disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;58703003;Postpartum depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;596004;Premenstrual dysphoric disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;60099002;Severe major depression with psychotic features, mood-incongruent;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;63412003;Major depression in full remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;63778009;Major depressive disorder, single episode with melancholic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;66344007;Recurrent major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;67711008;Primary dysthymia late onset;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;68019004;Recurrent major depression in remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;69392006;Major depressive disorder, single episode with catatonic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;698957003;Depressive disorder in remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;70747007;Major depression single episode, in partial remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;712823008;Acute depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;71336009;Recurrent major depressive disorder with postpartum onset;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;718636001;Minimal depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;719592004;Moderately severe major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;719593009;Moderately severe depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;720451004;Minimal recurrent major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;720452006;Moderately severe recurrent major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;720453001;Moderately severe major depression single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;720454007;Minimal major depression single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;720455008;Minimal major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;723928009;Mood disorder with depressive symptoms caused by alcohol;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;723930006;Mood disorder with mixed manic and depressive symptoms caused by alcohol;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;724676000;Mood disorder with depressive symptoms caused by sedative;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;724677009;Mood disorder with depressive symptoms caused by hypnotic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;724678004;Mood disorder with depressive symptoms caused by anxiolytic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;724690002;Mood disorder with depressive symptoms caused by cocaine;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;726772006;Major depression with psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;73867007;Severe major depression with psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;75084000;Severe major depression without psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;762321000;Mood disorder with depressive symptoms caused by opioid;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;762329003;Mood disorder with depressive symptoms caused by stimulant;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;762336002;Mood disorder with depressive symptoms caused by hallucinogen;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;762339009;Mood disorder with depressive symptoms caused by volatile inhalant;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;762345001;Mood disorder with depressive symptoms caused by dissociative drug;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;762512002;Mood disorder with depressive symptoms caused by synthetic cathinone;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;76441001;Severe major depression, single episode, without psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;765176007;Psychosis and severe depression co-occurrent and due to bipolar affective disorder;;;Possible;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;77911002;Severe major depression, single episode, with psychotic features, mood-congruent;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;78667006;Dysthymia;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;788120007;Antenatal depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;79298009;Mild major depression, single episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;79842004;Stuporous depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;82218004;Postoperative depression;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;83176005;Primary dysthymia;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;832007;Moderate major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;83458005;Agitated depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;838530009;Mood disorder with depressive symptoms caused by amphetamine and/or amphetamine derivative;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;84760002;Schizoaffective disorder, depressive type;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;84788008;Menopausal depression;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;85080004;Secondary dysthymia;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;87414006;Reactive depression (situational);;;Possible;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;87512008;Mild major depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;87842000;Generalized neuromuscular exhaustion syndrome;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;9,46E+13;Depressive disorder in mother complicating pregnancy;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;192348001;Mood disorder;C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;192391006;[X] Affective psychosis NOS;C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;268713007;[X]Unspecified mood affective disorder;C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;46206005;Mood disorder;C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;10327003;Cocaine-induced mood disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;10875004;Severe mixed bipolar I disorder with psychotic features, mood-incongruent;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;10981006;Severe mixed bipolar I disorder with psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;111485001;Mixed bipolar I disorder in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1196001;Chronic bipolar II disorder, most recent episode major depressive;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,24E+16;Mood disorder caused by methamphetamine;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;12969000;Severe bipolar II disorder, most recent episode major depressive, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,33E+14;Rapid cycling bipolar I disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;13313007;Mild bipolar disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;13581000;Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;13746004;Bipolar disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1383008;Hallucinogen mood disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;14495005;Severe bipolar I disorder, single manic episode without psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1499003;Bipolar I disorder, single manic episode with postpartum onset;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;162004;Severe manic bipolar I disorder without psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;1,62E+16;Bipolar disorder caused by drug;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;16295005;Bipolar II disorder, most recent episode major depressive;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;16506000;Mixed bipolar I disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;17782008;Bipolar I disorder, most recent episode manic with catatonic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191583000;Single manic episode, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191584006;Single manic episode, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191586008;Single manic episode, severe, with psychosis;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191588009;Single manic episode in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191590005;Recurrent manic episodes;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191592002;Recurrent manic episodes, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191593007;Recurrent manic episodes, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191595000;Recurrent manic episodes, severe, with psychosis;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191597008;Recurrent manic episodes, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191618007;Bipolar affective disorder, current episode manic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191620005;Bipolar affective disorder, currently manic, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191621009;Bipolar affective disorder, currently manic, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191623007;Bipolar affective disorder, currently manic, severe, with psychosis;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191625000;Bipolar affective disorder, currently manic, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191636007;Mixed bipolar affective disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191638008;Mixed bipolar affective disorder, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191639000;Mixed bipolar affective disorder, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191641004;Mixed bipolar affective disorder, severe, with psychosis;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191643001;Mixed bipolar affective disorder, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;191658009;Atypical manic disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;192362008;Bipolar affective disorder, current episode mixed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;19300006;Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;20960007;Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,11E+13;Mood disorder of manic type;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;21900002;Bipolar I disorder, most recent episode depressed with catatonic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;22121000;Depressed bipolar I disorder in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;22407005;Bipolar II disorder, most recent episode major depressive with catatonic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;22419002;Mood disorder with mixed features due to general medical condition;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231443008;Right hemispheric organic affective disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231444002;Organic bipolar disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231446000;Organic emotionally labile disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231494001;Mania;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231495000;Manic stupor;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;231496004;Hypomania;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;23645006;Organic mood disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,37E+13;Severe manic bipolar I disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,61E+11;Severe depressed bipolar I disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;26203008;Severe depressed bipolar I disorder with psychotic features, mood-incongruent;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;26516009;Severe mood disorder with psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;26530004;Severe bipolar disorder with psychotic features, mood-incongruent;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;268619003;Manic disorder, single episode;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,71E+11;Severe mixed bipolar I disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;28357009;Transitory postpartum mood disturbance;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;28663008;Severe manic bipolar I disorder with psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;28676002;Mood disorder with manic features due to general medical condition;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;28864000;Sedative, hypnotic AND/OR anxiolytic-induced mood disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;28884001;Moderate bipolar I disorder, single manic episode;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;SNOMEDCT_US;2,89E+14;Opioid-induced mood disorder due to opioid abuse;;;Exclude;R;DEPRESSION;
